Pseudo-terminal will not be allocated because stdin is not a terminal.
[32mForwarding HTTP traffic from https://faris_ppless_client.serveo.net
[0mHTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/login
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/_next/static/chunks/webpack.js?ts=1711612545745
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/_next/static/chunks/react-refresh.js?ts=1711612545745
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/_next/static/chunks/main.js?ts=1711612545745
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/_next/static/chunks/pages/_app.js?ts=1711612545745
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/_next/static/development/_buildManifest.js?ts=1711612545745
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/_next/static/chunks/pages/login.js?ts=1711612545745
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/_next/static/development/_ssgManifest.js?ts=1711612545745
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/_next/webpack-hmr
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/_next/webpack-hmr
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/_next/static/development/_devMiddlewareManifest.json
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/favicon.ico
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/_next/image?url=%2Fimages%2Fai%20touch.PNG&w=828&q=75
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api_/statistics/
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/_next/static/development/_devPagesManifest.json
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/images/faris_logo.PNG
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/images/1.jpg
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api_/statistics/
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/_next/static/chunks/pages/admin.js
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api_/documents/?ordering=-id
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api_/statistics/
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api_/statistics/
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api_/documents/?ordering=-id
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/_next/webpack-hmr
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api/thumb?doc=29&&token=edf38abc7d40172931c5d3c30185b09d956de627
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api/thumb?doc=28&&token=edf38abc7d40172931c5d3c30185b09d956de627
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api/thumb?doc=27&&token=edf38abc7d40172931c5d3c30185b09d956de627
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api/thumb?doc=26&&token=edf38abc7d40172931c5d3c30185b09d956de627
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api/thumb?doc=25&&token=edf38abc7d40172931c5d3c30185b09d956de627
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api/thumb?doc=24&&token=edf38abc7d40172931c5d3c30185b09d956de627
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api_/documents/29/thumb/
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api_/documents/25/thumb/
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api_/documents/28/thumb/
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api_/documents/24/thumb/
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api_/documents/27/thumb/
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api_/documents/26/thumb/
HTTP request from 196.188.78.69 to https://faris_ppless_client.serveo.net/api/thumb?doc=23&&token=edf38abc7d40172931c5d3c30185b09d956de627
